شماره دانشجويي,نام درس,کد درس ,گروه درس ,
83,مباني کامپيوتر و برنامه,1236313,3,
84,کارگاه کامپيوتر 1,1218281,3,
84,مباني کامپيوتر و برنامه,1236313,3,
85,کارگاه کامپيوتر 1,1218281,3,
85,مباني کامپيوتر و برنامه,1236313,3,
86,کارگاه کامپيوتر 1,1218281,3,
86,مباني کامپيوتر و برنامه,1236313,3,
87,کارگاه کامپيوتر 1,1218281,3,
87,مباني کامپيوتر و برنامه,1236313,3,
88,کارگاه کامپيوتر 1,1218281,3,
88,مباني کامپيوتر و برنامه,1236313,3,
89,کارگاه کامپيوتر 1,1218281,3,
89,مباني کامپيوتر و برنامه,1236313,3,
90,کارگاه کامپيوتر 1,1218281,3,
90,مباني کامپيوتر و برنامه,1236313,3,
91,کارگاه کامپيوتر 1,1218281,3,
91,مباني کامپيوتر و برنامه,1236313,3,
92,کارگاه کامپيوتر 1,1218281,3,
92,مباني کامپيوتر و برنامه,1236313,3,
93,کارگاه کامپيوتر 1,1218281,3,
93,مباني کامپيوتر و برنامه,1236313,3,
94,کارگاه کامپيوتر 1,1218281,4,
94,مباني کامپيوتر و برنامه,1236313,4,
95,کارگاه کامپيوتر 1,1218281,4,
95,مباني کامپيوتر و برنامه,1236313,4,
96,کارگاه کامپيوتر 1,1218281,4,
96,مباني کامپيوتر و برنامه,1236313,4,
97,کارگاه کامپيوتر 1,1218281,4,
97,مباني کامپيوتر و برنامه,1236313,4,
98,کارگاه کامپيوتر 1,1218281,4,
98,مباني کامپيوتر و برنامه,1236313,4,
99,کارگاه کامپيوتر 1,1218281,4,
99,مباني کامپيوتر و برنامه,1236313,4,
100,کارگاه کامپيوتر 1,1218281,4,
100,مباني کامپيوتر و برنامه,1236313,4,
101,کارگاه کامپيوتر 1,1218281,4,
101,مباني کامپيوتر و برنامه,1236313,4,
102,کارگاه کامپيوتر 1,1218281,4,
102,مباني کامپيوتر و برنامه,1236313,4,
103,کارگاه کامپيوتر 1,1218281,4,
103,مباني کامپيوتر و برنامه,1236313,4,
104,کارگاه کامپيوتر 1,1218281,4,
104,مباني کامپيوتر و برنامه,1236313,4,
105,کارگاه کامپيوتر 1,1218281,4,
105,مباني کامپيوتر و برنامه,1236313,4,
106,کارگاه کامپيوتر 1,1218281,4,
106,مباني کامپيوتر و برنامه,1236313,4,
107,کارگاه کامپيوتر 1,1218281,4,
107,مباني کامپيوتر و برنامه,1236313,4,
108,کارگاه کامپيوتر 1,1218281,4,
108,مباني کامپيوتر و برنامه,1236313,4,
109,کارگاه کامپيوتر 1,1218281,4,
109,مباني کامپيوتر و برنامه,1236313,4,
110,کارگاه کامپيوتر 1,1218281,4,
110,مباني کامپيوتر و برنامه,1236313,4,
111,کارگاه کامپيوتر 1,1218281,4,
111,مباني کامپيوتر و برنامه,1236313,4,
112,کارگاه کامپيوتر 1,1218281,4,
112,مباني کامپيوتر و برنامه,1236313,4,
113,کارگاه کامپيوتر 1,1218281,4,
113,مباني کامپيوتر و برنامه,1236313,4,
114,کارگاه کامپيوتر 1,1218281,4,
114,مباني کامپيوتر و برنامه,1236313,4,
115,کارگاه کامپيوتر 1,1218281,4,
115,مباني کامپيوتر و برنامه,1236313,4,
116,کارگاه کامپيوتر 1,1218281,4,
116,مباني کامپيوتر و برنامه,1236313,4,
117,کارگاه کامپيوتر 1,1218281,4,
117,مباني کامپيوتر و برنامه,1236313,4,
118,کارگاه کامپيوتر 1,1218281,4,
118,مباني کامپيوتر و برنامه,1236313,4,
119,کارگاه کامپيوتر 1,1218281,4,
119,مباني کامپيوتر و برنامه,1236313,4,
120,کارگاه کامپيوتر 1,1218281,2,
120,مباني کامپيوتر و برنامه,1236313,4,
121,کارگاه کامپيوتر 1,1218281,4,
121,مباني کامپيوتر و برنامه,1236313,4,
122,مباني کارآفريني,1236322,1,
122,مباني ترکيبيات,1218163,1,
122,مباني علوم رياضي,1236303,1,
123,اصول سيستمهاي کامپيوتري,1218374,1,
123,ساختمان داده,1218304,2,
123,مباني آناليز عددي,1218133,2,
124,اصول سيستمهاي کامپيوتري,1218374,1,
124,ساختمان داده,1218304,1,
124,مباني آناليز عددي,1218133,2,
124,مباني ترکيبيات,1218163,1,
125,ساختمان داده,1218304,2,
125,مباني آناليز عددي,1218133,2,
125,مباني علوم رياضي,1236303,1,
126,برنامه سازي پيشرفته وکارگاه,1316234,1,
126,مباني ترکيبيات,1218163,1,
126,مباني ماتريسها و جبر خطي,1218103,2,
127,برنامه سازي پيشرفته وکارگاه,1316234,1,
127,مباني کارآفريني,1236322,2,
127,مباني ترکيبيات,1218163,1,
128,برنامه سازي پيشرفته وکارگاه,1316234,1,
